Administrative Counties,age,Both sexes,female,male
Wicklow County Council,33,1780,943,837
Wicklow County Council,34,1846,981,865
Wicklow County Council,35,1983,1060,923
Wicklow County Council,36,2102,1153,949
Wicklow County Council,37,2267,1191,1076
Wicklow County Council,38,2354,1277,1077
Wicklow County Council,39,2473,1336,1137
Wicklow County Council,40,2576,1400,1176
Wicklow County Council,41,2635,1385,1250
Wicklow County Council,42,2744,1438,1306
Wicklow County Council,43,2530,1308,1222
Wicklow County Council,44,2515,1291,1224
Wicklow County Council,45,2417,1223,1194
Wicklow County Council,46,2408,1237,1171
Wicklow County Council,47,2458,1250,1208
Wicklow County Council,48,2415,1225,1190
Wicklow County Council,49,2411,1215,1196
Wicklow County Council,50,2335,1179,1156
Wicklow County Council,51,2342,1165,1177
Wicklow County Council,52,2254,1150,1104
Wicklow County Council,53,2020,1031,989
Wicklow County Council,54,1976,1003,973
Wicklow County Council,55,1994,1033,961
Wicklow County Council,56,2002,1017,985
Wicklow County Council,57,2111,1073,1038
Wicklow County Council,58,1898,993,905
Wicklow County Council,59,1922,970,952
Wicklow County Council,60,1974,989,985
Wicklow County Council,61,1779,918,861
Wicklow County Council,62,1709,873,836
Wicklow County Council,63,1636,811,825
Wicklow County Council,64,1602,842,760
Wicklow County Council,65,1512,784,728
Wicklow County Council,66,1534,794,740
Wicklow County Council,67,1488,778,710
Wicklow County Council,68,1368,675,693
Wicklow County Council,69,1375,722,653
Wicklow County Council,70,1310,676,634
Wicklow County Council,71,1271,640,631
Wicklow County Council,72,1273,678,595
Wicklow County Council,73,1284,642,642
Wicklow County Council,74,1126,575,551
Wicklow County Council,75,1114,538,576
Wicklow County Council,76,1047,552,495
Wicklow County Council,77,974,501,473
Wicklow County Council,78,936,498,438
Wicklow County Council,79,812,420,392
Wicklow County Council,80,706,372,334
Wicklow County Council,81,603,330,273
Wicklow County Council,82,599,333,266
Wicklow County Council,83,531,282,249
Wicklow County Council,84,454,240,214
Wicklow County Council,85,417,239,178
Wicklow County Council,86,372,211,161
Wicklow County Council,87,291,175,116
Wicklow County Council,88,241,147,94
Wicklow County Council,89,246,133,113
Wicklow County Council,90,177,113,64
Wicklow County Council,91,164,103,61
Wicklow County Council,92,114,81,33
Wicklow County Council,93,82,62,20
Wicklow County Council,94,76,53,23
Wicklow County Council,95,59,44,15
Wicklow County Council,96,38,26,12
Wicklow County Council,97,25,21,4
Wicklow County Council,98,16,12,4
Wicklow County Council,99,8,7,1
Wicklow County Council,100,18,15,3
