iter	Passed	Remaining
337	2956	1416
338	2964	1408
339	2973	1399
340	2982	1390
341	2991	1381
342	3000	1373
343	3009	1364
344	3018	1356
345	3027	1347
346	3036	1338
347	3045	1330
348	3053	1321
349	3061	1312
350	3070	1303
351	3080	1295
352	3088	1286
353	3096	1277
354	3105	1268
355	3113	1259
356	3123	1250
357	3132	1242
358	3141	1233
359	3149	1224
360	3159	1216
361	3168	1207
362	3178	1199
363	3186	1190
364	3195	1181
365	3203	1172
366	3212	1164
367	3220	1155
368	3229	1146
369	3237	1137
370	3247	1129
371	3255	1120
372	3264	1111
373	3273	1102
374	3281	1093
375	3291	1085
376	3300	1076
377	3308	1067
378	3317	1059
379	3325	1050
380	3334	1041
381	3343	1032
382	3352	1024
383	3360	1015
384	3369	1006
385	3378	997
386	3387	989
387	3396	980
388	3404	971
389	3412	962
390	3421	953
391	3430	945
392	3440	936
393	3449	927
394	3457	919
395	3465	910
396	3474	901
397	3482	892
398	3492	883
399	3501	875
400	3510	866
401	3518	857
402	3527	849
403	3536	840
404	3545	831
405	3554	823
406	3562	814
407	3567	804
408	3577	795
409	3586	787
410	3595	778
411	3604	769
412	3612	760
413	3621	752
414	3630	743
415	3639	734
